Neighborhood Name,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Ajuda,38.7075,-9.198333,Palácio Nacional da Ajuda,38.707653,-9.197758,Historic Site
Ajuda,38.7075,-9.198333,Restaurante Andorinhas,38.70491145873602,-9.19934888586842,Restaurant
Ajuda,38.7075,-9.198333,Páteo Alfacinha,38.70653745320649,-9.194201517392289,Restaurant
Ajuda,38.7075,-9.198333,Jardim Botânico da Ajuda,38.706429793426395,-9.201222207691192,Botanical Garden
Ajuda,38.7075,-9.198333,Churrasqueira do Marquês,38.70399631558285,-9.199402378140045,BBQ Joint
Ajuda,38.7075,-9.198333,Estufa Real,38.70683960217436,-9.201974849348982,Restaurant
Ajuda,38.7075,-9.198333,Carruço - Artista Plástico,38.71015466226625,-9.200749397277832,Art Gallery
Ajuda,38.7075,-9.198333,Outra Opção (antiga Panibel),38.7041902360868,-9.199464386029884,Bakery
Ajuda,38.7075,-9.198333,Barata,38.70372447425215,-9.1953431208965,Grocery Store
Alcantara,38.706389,-9.174167,Alcântara 50,38.705462454591405,-9.173533171878635,Portuguese Restaurant
Alcantara,38.706389,-9.174167,Grelhados de Alcântara,38.70512974737624,-9.172244898930126,BBQ Joint
Alcantara,38.706389,-9.174167,Largo das Necessidades,38.70758354356667,-9.171750774065254,Plaza
Alcantara,38.706389,-9.174167,O Palácio,38.70635728105693,-9.173442222231154,Seafood Restaurant
Alcantara,38.706389,-9.174167,Paradise Garage,38.70540277219041,-9.17403571062531,Concert Hall
Alcantara,38.706389,-9.174167,Quimera Brewpub,38.70546210234665,-9.17098093330304,Beer Bar
Alcantara,38.706389,-9.174167,Ozeki,38.705741727624314,-9.17347474536485,Sushi Restaurant
Alcantara,38.706389,-9.174167,Copenhagen Coffee Lab,38.705357,-9.171112,Coffee Shop
Alcantara,38.706389,-9.174167,A Tapadinha,38.706575526115145,-9.17872960772976,Eastern European Restaurant
Alcantara,38.706389,-9.174167,Divinos Prazeres,38.70464887459906,-9.174612881287253,Pizza Place
Alcantara,38.706389,-9.174167,Tapada das Necessidades,38.70871051593267,-9.170463173003185,Park
Alcantara,38.706389,-9.174167,Toscana,38.70476877496275,-9.169375504996157,Portuguese Restaurant
Alcantara,38.706389,-9.174167,O Maravilhas,38.70488294537882,-9.173550522353365,Portuguese Restaurant
Alcantara,38.706389,-9.174167,Museu do Oriente,38.702848908189125,-9.170761176619253,Museum
Alcantara,38.706389,-9.174167,Alcântara Café,38.70359880006869,-9.176502651958879,Nightclub
Alcantara,38.706389,-9.174167,Lidl,38.70504550109264,-9.179042758951855,Supermarket
Alcantara,38.706389,-9.174167,O Mercado,38.70500456972445,-9.178732084421283,Mediterranean Restaurant
Alcantara,38.706389,-9.174167,Puro Acaso,38.70467455749925,-9.17754619584153,Restaurant
Alcantara,38.706389,-9.174167,Painel de Alcântara,38.70494984957675,-9.172160759989637,Portuguese Restaurant
Alcantara,38.706389,-9.174167,Restaurante 31 da Armada,38.70520483584909,-9.170412252046368,Mediterranean Restaurant
Alcantara,38.706389,-9.174167,Largo do Calvário,38.70481975691167,-9.177435628738174,Plaza
Alvalade,38.746944,-9.136111,Dom Feijão,38.74711791847183,-9.139536565949937,Portuguese Restaurant
Alvalade,38.746944,-9.136111,Harley-Davidson,38.744597861217926,-9.134057988767099,Motorcycle Shop
Alvalade,38.746944,-9.136111,Teatro Municipal Maria Matos,38.74577358669034,-9.13874453800186,Theater
Alvalade,38.746944,-9.136111,FIB - il vero gelato italiano (geladosfib),38.74424989025015,-9.134209787740007,Ice Cream Shop
Alvalade,38.746944,-9.136111,Restaurante O Mattos,38.74586468426611,-9.138629373114322,Portuguese Restaurant
Alvalade,38.746944,-9.136111,Complexo Desportivo Supera Areeiro,38.74489482196382,-9.138953498025113,Gym / Fitness Center
Alvalade,38.746944,-9.136111,Casa do Gelado,38.74487214717318,-9.139544722525967,Ice Cream Shop
Alvalade,38.746944,-9.136111,Lutécia Hotel,38.74579418904793,-9.138996704354472,Hotel
Alvalade,38.746944,-9.136111,Confeitaria LX,38.74723703884455,-9.140787170423318,Coffee Shop
Alvalade,38.746944,-9.136111,Frutalmeidas,38.746755029151224,-9.14073600396844,Snack Place
Alvalade,38.746944,-9.136111,Jardim Fernando Pessa,38.74306887661078,-9.137231249912542,Garden
Alvalade,38.746944,-9.136111,Lucca,38.745894812066716,-9.141330349703415,Pizza Place
Alvalade,38.746944,-9.136111,Sala Thai,38.747651,-9.140187,Thai Restaurant
Alvalade,38.746944,-9.136111,Restaurante Fraga,38.747618612302155,-9.132411863632257,Portuguese Restaurant
Alvalade,38.746944,-9.136111,Livraria Barata,38.7430593852649,-9.138633352168908,Bookstore
Alvalade,38.746944,-9.136111,Despensa N.6,38.74475053649052,-9.14021190305191,Bakery
Alvalade,38.746944,-9.136111,1001 Nights Iranian Restaurant,38.745068,-9.140761,Persian Restaurant
Alvalade,38.746944,-9.136111,Churrasqueira XXI,38.742506,-9.135459,BBQ Joint
Alvalade,38.746944,-9.136111,Hotel Roma,38.74562044536929,-9.14029554431147,Hotel
Alvalade,38.746944,-9.136111,Marisqueira Roma,38.744963213796616,-9.139585545491382,Seafood Restaurant
Alvalade,38.746944,-9.136111,Magic Pool Bar,38.7442125905278,-9.14067058398982,Bar
Alvalade,38.746944,-9.136111,iClinica,38.743659607991496,-9.13594779337791,Electronics Store
Alvalade,38.746944,-9.136111,Fisiogaspar,38.74887874096399,-9.131640625400143,Medical Center
Alvalade,38.746944,-9.136111,Loja NOS,38.74392568186061,-9.139397084135158,Electronics Store
Alvalade,38.746944,-9.136111,Fome de Leão,38.74353801081973,-9.133965511643703,BBQ Joint
Alvalade,38.746944,-9.136111,Pastelaria Madrid,38.743600608439095,-9.135562599862668,Café
Alvalade,38.746944,-9.136111,Pokhara,38.74661263445253,-9.132393276775964,Indian Restaurant
Alvalade,38.746944,-9.136111,Dona Maria,38.74636765042745,-9.132444282966445,Portuguese Restaurant
Alvalade,38.746944,-9.136111,Bertrand,38.743329902595434,-9.138721484986583,Bookstore
Alvalade,38.746944,-9.136111,Confraria do Café,38.74327919180254,-9.139130246112165,Café
Alvalade,38.746944,-9.136111,Praça do Areeiro,38.74395876113913,-9.139165878295898,Plaza
Alvalade,38.746944,-9.136111,Fórum Lisboa,38.74348688946045,-9.138568630991749,Performing Arts Venue
Alvalade,38.746944,-9.136111,Panificadora do Areeiro,38.748709,-9.132707,Bakery
Alvalade,38.746944,-9.136111,Tabacaria Brilhante,38.74832030069106,-9.13229261186393,Smoke Shop
Alvalade,38.746944,-9.136111,Eua Caffe,38.74883768662498,-9.13220351041638,Café
Alvalade,38.746944,-9.136111,Circulo De Letras,38.743864303828744,-9.13980239822078,Bookstore
Areeiro,38.740278,-9.128056,Zé do Cozido,38.738402,-9.128832,Portuguese Restaurant
Areeiro,38.740278,-9.128056,Journey By Day,38.73867001407527,-9.127342700958252,Electronics Store
Areeiro,38.740278,-9.128056,Tasca do Miguel,38.739569979959896,-9.130768917955944,Portuguese Restaurant
Areeiro,38.740278,-9.128056,Tou Aqui Tou Aí,38.73836932304525,-9.12731092088415,Electronics Store
Areeiro,38.740278,-9.128056,Pepe & Oliva,38.737670398440635,-9.127349677976229,Italian Restaurant
Areeiro,38.740278,-9.128056,Fonte Luminosa,38.737297553678296,-9.130260944366455,Fountain
Areeiro,38.740278,-9.128056,GlobalData,38.7418381232586,-9.129294959058695,Electronics Store
Areeiro,38.740278,-9.128056,The Wine Company,38.740134500655415,-9.128922522068024,Wine Shop
Areeiro,38.740278,-9.128056,Domino's Pizza,38.741721751405024,-9.13080402479915,Pizza Place
Areeiro,38.740278,-9.128056,Os Mimos do Churrasco,38.73956600585811,-9.125503097962078,Restaurant
Areeiro,38.740278,-9.128056,Trigo Doce,38.7395439,-9.132054,Bakery
Areeiro,38.740278,-9.128056,Pavilhão Casal Vistoso,38.74321123517902,-9.128567018429795,Stadium
Areeiro,38.740278,-9.128056,Restaurante Espadachim,38.73965847407967,-9.133306329571731,Asian Restaurant
Areeiro,38.740278,-9.128056,Expressoflor,38.73754826021278,-9.13154161389765,Coffee Shop
Areeiro,38.740278,-9.128056,Hotel DAH,38.73719468212485,-9.12826482881447,Hotel
Areeiro,38.740278,-9.128056,Club Olaias,38.74195589535329,-9.12317956817953,Gym / Fitness Center
Areeiro,38.740278,-9.128056,Olaias Park Hotel,38.739514337702616,-9.124082585894811,Hotel
Areeiro,38.740278,-9.128056,Centro de Ténis das Olaias,38.74154304836772,-9.122763501375744,Tennis Court
Areeiro,38.740278,-9.128056,Fei He,38.74036764094404,-9.12387333553908,Chinese Restaurant
Areeiro,38.740278,-9.128056,Altis Park Hotel,38.739573076105835,-9.124026327715322,Hotel
Areeiro,38.740278,-9.128056,Charlot,38.73986740771748,-9.124052474250957,Café
Areeiro,38.740278,-9.128056,Olaias Plaza,38.74001484570196,-9.124120522681183,Shopping Mall
Areeiro,38.740278,-9.128056,Clube de Rugby do Técnico,38.74019159033336,-9.123411918116842,Sports Club
Areeiro,38.740278,-9.128056,Liz Garden,38.74190021311252,-9.12341594696045,Flower Shop
Arroios,38.728889,-9.138889,Hare Krishna,38.73036615954922,-9.140637841598366,Vegetarian / Vegan Restaurant
Arroios,38.728889,-9.138889,Restaurante O Raposo,38.72854587902703,-9.13689425520043,Restaurant
Arroios,38.728889,-9.138889,Vasku's Grill,38.72811859052203,-9.136848941319027,Steakhouse
Arroios,38.728889,-9.138889,Pastelaria Açoreana,38.72756095303935,-9.142108578656558,Bakery
Arroios,38.728889,-9.138889,Restaurante Viva Lisboa,38.729406586392734,-9.140453769285548,Portuguese Restaurant
Arroios,38.728889,-9.138889,Aromas e Temperos,38.73200588115668,-9.137944597717386,Brazilian Restaurant
Arroios,38.728889,-9.138889,Horta dos Brunos,38.732079705651394,-9.139160724162508,Portuguese Restaurant
Arroios,38.728889,-9.138889,A Padaria Portuguesa,38.73129481674355,-9.136410122342193,Bakery
