Neighborhood,Price (Eur/m2),Latitude,Longitude,Population,Area (km2)
Ajuda,2564,38.7075,-9.198333,15617,2.88
Alcantara,2413,38.706389,-9.174167,13943,5.07
Alvalade,3087,38.746944,-9.136111,31813,5.34
Areeiro,2701,38.740278,-9.128056,20131,1.74
Arroios,2793,38.728889,-9.138889,31653,2.13
Avenidas Novas,3338,38.738889,-9.145833,21625,2.99
Beato,1913,38.734722,-9.105833,12737,2.46
Belem,2877,38.7,-9.2,16528,10.43
Benfica,2205,38.751111,-9.202222,36985,8.03
Campo de Ourique,3095,38.71527800000001,-9.166944,22120,1.65
Campolide,2633,38.72638900000001,-9.163333,15460,2.77
Carnide,2745,38.760833,-9.183611,19218,3.69
Estrela,3472,38.713333,-9.16,20128,4.6
Lumiar,2469,38.765278,-9.158611,45605,6.57
Marvila,1543,38.745278000000006,-9.104167,37793,7.12
Misericordia,3894,38.711389,-9.148056,13044,2.19
Olivais,1860,38.773611,-9.1175,33788,8.09
Parque das Nacoes,3496,38.768056,-9.093889,21025,5.44
Penha de Franca,2285,38.73,-9.131667,27967,2.71
Santa Clara,1780,38.78527800000001,-9.145,22480,3.36
Santa Maria Maior,3632,38.712778,-9.135556,12822,3.01
Santo Antonio,4105,38.724167,-9.145,11836,1.49
Sao Domingos de Benfica,2737,38.743611,-9.17,33043,4.29
Sao Vicente,2885,38.719444,-9.126389,15339,1.99
